#{"t_start": 1765749633.2718701, "env_id": "CartPole-v1"}
r,l,t
25.0,25,2.734043
55.0,55,2.783997
14.0,14,2.793824
26.0,26,2.812001
14.0,14,2.822166
37.0,37,2.845866
15.0,15,2.855973
21.0,21,2.870085
13.0,13,2.878166
13.0,13,2.887249
12.0,12,2.895837
65.0,65,2.938266
38.0,38,2.962028
15.0,15,2.972122
22.0,22,2.98797
32.0,32,3.007884
38.0,38,3.031912
17.0,17,3.044017
19.0,19,3.055853
20.0,20,3.069968
28.0,28,3.087873
45.0,45,3.117757
16.0,16,3.125806
65.0,65,3.173802
19.0,19,3.185909
28.0,28,3.204106
12.0,12,3.211924
53.0,53,3.247978
42.0,42,3.275944
28.0,28,3.293848
14.0,14,3.303941
25.0,25,3.320132
45.0,45,3.348123
12.0,12,3.356222
10.0,10,3.361796
33.0,33,3.383399
11.0,11,3.38992
12.0,12,3.399588
29.0,29,3.418253
42.0,42,3.445802
22.0,22,3.457917
15.0,15,3.468033
41.0,41,3.494036
10.0,10,3.500062
63.0,63,3.546045
16.0,16,3.55587
37.0,37,3.579567
19.0,19,3.591942
15.0,15,3.602034
51.0,51,3.635706
18.0,18,3.644367
12.0,12,3.650004
31.0,31,3.675856
31.0,31,3.69194
12.0,12,3.699668
42.0,42,3.723725
49.0,49,3.760031
10.0,10,3.76487
21.0,21,3.772785
11.0,11,3.78476
18.0,18,3.794783
11.0,11,3.799834
14.0,14,3.811965
17.0,17,3.820146
18.0,18,3.834794
27.0,27,3.851947
36.0,36,3.869926
12.0,12,3.879828
19.0,19,3.889816
43.0,43,3.919989
33.0,33,3.939889
15.0,15,3.950011
14.0,14,3.959839
49.0,49,3.990046
23.0,23,4.004747
17.0,17,4.011921
18.0,18,4.024744
28.0,28,4.039818
9.0,9,4.043741
38.0,38,5.302171
36.0,36,5.32485
41.0,41,5.350001
51.0,51,5.3799
20.0,20,5.389867
22.0,22,5.401867
44.0,44,5.433862
16.0,16,5.441936
51.0,51,5.46955
11.0,11,5.481904
12.0,12,5.489936
16.0,16,5.499725
13.0,13,5.507804
11.0,11,5.515619
12.0,12,5.525744
23.0,23,5.539892
24.0,24,5.554769
62.0,62,5.593724
44.0,44,5.624195
16.0,16,5.634019
26.0,26,5.649632
29.0,29,5.668024
16.0,16,5.677839
51.0,51,5.709866
48.0,48,5.739838
23.0,23,5.754943
13.0,13,5.761111
29.0,29,5.77959
17.0,17,5.789763
86.0,86,5.842761
47.0,47,5.874764
23.0,23,5.890839
126.0,126,5.970035
22.0,22,5.984737
45.0,45,6.011919
46.0,46,6.039671
15.0,15,6.04488
46.0,46,6.069638
20.0,20,6.083843
29.0,29,6.099806
23.0,23,6.1199
17.0,17,6.12981
16.0,16,6.131868
14.0,14,6.148028
56.0,56,6.179789
35.0,35,6.199658
26.0,26,6.211883
19.0,19,6.229905
22.0,22,6.243674
25.0,25,6.258785
29.0,29,6.277508
51.0,51,6.304723
60.0,60,6.343967
60.0,60,6.379854
76.0,76,6.423865
12.0,12,6.429823
38.0,38,6.460003
20.0,20,6.472095
68.0,68,6.524757
16.0,16,6.535918
17.0,17,6.542006
80.0,80,7.81403
51.0,51,7.843238
29.0,29,7.861263
38.0,38,7.87991
105.0,105,7.949926
54.0,54,7.989767
29.0,29,8.016057
51.0,51,8.049897
25.0,25,8.066058
45.0,45,8.094736
50.0,50,8.121532
20.0,20,8.131796
81.0,81,8.180953
68.0,68,8.221662
38.0,38,8.249844
28.0,28,8.261891
62.0,62,8.29969
27.0,27,8.319907
61.0,61,8.354873
83.0,83,8.406889
20.0,20,8.411279
13.0,13,8.426704
23.0,23,8.444163
62.0,62,8.479946
115.0,115,8.559864
16.0,16,8.572047
28.0,28,8.589972
22.0,22,8.601946
20.0,20,8.609793
101.0,101,8.669558
46.0,46,8.702266
59.0,59,8.739846
35.0,35,8.763187
26.0,26,8.779286
16.0,16,8.779824
36.0,36,8.810021
20.0,20,8.819785
25.0,25,8.834719
103.0,103,8.891869
32.0,32,8.909763
53.0,53,8.944748
34.0,34,8.959717
67.0,67,9.004696
84.0,84,9.055725
23.0,23,10.176003
107.0,107,10.23964
83.0,83,10.289733
85.0,85,10.344833
156.0,156,10.439698
92.0,92,10.497771
63.0,63,10.534706
151.0,151,10.629698
188.0,188,10.739791
220.0,220,10.869499
114.0,114,10.944811
18.0,18,10.954871
24.0,24,10.969608
85.0,85,11.019837
107.0,107,11.084635
42.0,42,11.109865
73.0,73,11.159498
54.0,54,11.209779
96.0,96,11.289507
158.0,158,11.399274
25.0,25,11.411915
28.0,28,11.429679
21.0,21,11.442048
118.0,118,12.65981
49.0,49,12.692577
482.0,482,12.989705
53.0,53,13.021752
167.0,167,13.123652
92.0,92,13.179779
238.0,238,13.329983
238.0,238,13.471807
103.0,103,13.53465
311.0,311,13.719779
192.0,192,13.829829
252.0,252,15.111812
225.0,225,15.239703
193.0,193,15.361911
361.0,361,15.571638
406.0,406,15.820368
214.0,214,15.97993
365.0,365,16.229831
334.0,334,17.547689
150.0,150,17.63961
191.0,191,17.751653
191.0,191,17.863915
250.0,250,18.014728
235.0,235,18.169688
255.0,255,18.409596
226.0,226,18.610938
218.0,218,18.751898
175.0,175,20.233841
188.0,188,20.421657
255.0,255,20.677261
225.0,225,20.856397
413.0,413,21.234241
251.0,251,21.47404
407.0,407,21.841875
210.0,210,21.989556
246.0,246,23.351638
221.0,221,23.479678
325.0,325,23.696021
293.0,293,23.942059
193.0,193,24.059612
355.0,355,24.283405
221.0,221,24.411793
167.0,167,24.521619
300.0,300,25.859621
219.0,219,25.98943
232.0,232,26.151739
243.0,243,26.301661
213.0,213,26.439451
220.0,220,26.584535
230.0,230,26.736511
293.0,293,26.923531
304.0,304,28.271693
442.0,442,28.569806
325.0,325,28.77964
426.0,426,29.089822
418.0,418,29.375567
266.0,266,29.542544
352.0,352,30.899769
335.0,335,31.108224
484.0,484,31.45956
346.0,346,31.679565
481.0,481,31.974637
328.0,328,33.347387
372.0,372,33.579454
351.0,351,33.789302
325.0,325,33.993584
319.0,319,34.189468
355.0,355,34.40345
352.0,352,36.047441
361.0,361,36.299292
500.0,500,36.683162
368.0,368,36.939638
378.0,378,37.181605
500.0,500,40.119439
500.0,500,40.763346
423.0,423,41.396966
500.0,500,42.045744
500.0,500,43.875634
500.0,500,44.383827
455.0,455,44.711698
467.0,467,45.035424
500.0,500,46.820725
500.0,500,47.319264
500.0,500,47.751684
493.0,493,48.068334
500.0,500,49.644566
500.0,500,50.201552
500.0,500,50.539645
500.0,500,50.876818
500.0,500,52.614231
500.0,500,53.087331
500.0,500,53.641673
500.0,500,54.014354
500.0,500,54.471828
500.0,500,56.075287
