#{"t_start": 1765748570.2321787, "env_id": "CartPole-v1"}
r,l,t
25.0,25,2.117984
55.0,55,2.170206
14.0,14,2.180012
26.0,26,2.200245
14.0,14,2.20995
37.0,37,2.232258
15.0,15,2.239892
21.0,21,2.259852
13.0,13,2.269812
13.0,13,2.274868
12.0,12,2.279914
65.0,65,2.332157
38.0,38,2.356085
15.0,15,2.366203
22.0,22,2.380018
32.0,32,2.399818
38.0,38,2.434901
17.0,17,2.450101
19.0,19,2.462251
20.0,20,2.477588
28.0,28,2.496434
45.0,45,2.537528
16.0,16,2.553405
65.0,65,2.620157
19.0,19,2.637069
28.0,28,2.665518
12.0,12,2.671693
53.0,53,2.721926
42.0,42,2.763997
28.0,28,2.793908
14.0,14,2.803243
25.0,25,2.829706
45.0,45,2.867686
12.0,12,2.871625
10.0,10,2.888512
33.0,33,2.91562
11.0,11,2.922913
12.0,12,2.935106
29.0,29,2.959318
42.0,42,2.99011
22.0,22,3.005206
15.0,15,3.018128
41.0,41,3.044907
10.0,10,3.051463
63.0,63,3.092115
16.0,16,3.1014
37.0,37,3.125111
19.0,19,3.134964
15.0,15,3.144267
51.0,51,3.180032
18.0,18,3.19418
12.0,12,3.201407
31.0,31,3.22006
31.0,31,3.244904
12.0,12,3.253887
42.0,42,3.290121
49.0,49,3.338547
10.0,10,3.346645
21.0,21,3.36772
11.0,11,3.372514
18.0,18,3.390282
11.0,11,3.404501
14.0,14,3.409898
17.0,17,3.429924
18.0,18,3.442284
27.0,27,3.471145
36.0,36,3.505836
12.0,12,3.514715
19.0,19,3.534397
43.0,43,3.573392
33.0,33,3.605513
15.0,15,3.619845
14.0,14,3.632303
49.0,49,3.662304
23.0,23,3.682118
17.0,17,3.696167
18.0,18,3.709792
28.0,28,3.727941
9.0,9,3.73496
38.0,38,5.069648
36.0,36,5.102122
41.0,41,5.130044
51.0,51,5.164165
20.0,20,5.178322
22.0,22,5.190021
44.0,44,5.209963
16.0,16,5.229631
36.0,36,5.250038
46.0,46,5.276972
20.0,20,5.290947
15.0,15,5.299801
12.0,12,5.309811
25.0,25,5.32446
104.0,104,5.389352
48.0,48,5.412118
43.0,43,5.439896
24.0,24,5.459911
11.0,11,5.459911
51.0,51,5.499864
26.0,26,5.509969
45.0,45,5.539647
27.0,27,5.559804
24.0,24,5.572244
30.0,30,5.59888
20.0,20,5.611248
22.0,22,5.632394
59.0,59,5.68969
120.0,120,5.789856
55.0,55,5.832021
25.0,25,5.849865
11.0,11,5.863974
35.0,35,5.887925
26.0,26,5.907876
38.0,38,5.933872
33.0,33,5.959816
19.0,19,5.973972
20.0,20,5.987816
13.0,13,5.997904
17.0,17,6.011838
15.0,15,6.019872
31.0,31,6.040109
37.0,37,6.069739
28.0,28,6.090042
25.0,25,6.101079
30.0,30,6.119699
22.0,22,6.139961
24.0,24,6.159848
42.0,42,6.183067
70.0,70,6.239749
37.0,37,6.263294
19.0,19,6.279942
42.0,42,6.311033
22.0,22,6.330096
15.0,15,6.339859
27.0,27,6.35978
