#{"t_start": 1766689445.0568447, "env_id": "CartPole-v1"}
r,l,t
500.0,500,27.333167
419.0,419,27.587413
280.0,280,27.73981
368.0,368,27.944105
500.0,500,29.369475
500.0,500,29.668592
500.0,500,29.937063
500.0,500,30.217998
500.0,500,31.598723
398.0,398,31.817195
500.0,500,32.116469
500.0,500,32.397003
500.0,500,33.79615
392.0,392,34.012113
500.0,500,34.295142
500.0,500,34.586051
282.0,282,34.750441
500.0,500,36.13457
500.0,500,36.399411
500.0,500,36.696414
500.0,500,36.979299
500.0,500,38.385072
500.0,500,38.669883
500.0,500,38.994927
500.0,500,39.324995
500.0,500,40.72879
500.0,500,41.023685
500.0,500,41.304232
500.0,500,41.587289
500.0,500,42.966009
500.0,500,43.250085
500.0,500,43.535405
500.0,500,43.815649
500.0,500,45.200485
500.0,500,45.483899
179.0,179,45.58483
345.0,345,45.774396
215.0,215,45.90068
500.0,500,46.181761
500.0,500,47.645854
361.0,361,47.84274
500.0,500,48.141811
232.0,232,48.26674
500.0,500,48.55016
500.0,500,49.928945
500.0,500,50.228845
349.0,349,50.416274
500.0,500,50.685177
500.0,500,52.143659
500.0,500,52.429626
500.0,500,52.715266
500.0,500,52.986202
500.0,500,54.368706
500.0,500,54.649917
500.0,500,54.934975
500.0,500,55.225927
500.0,500,56.628587
500.0,500,56.907707
500.0,500,57.196545
500.0,500,57.487379
