#{"t_start": 1765748906.178321, "env_id": "CartPole-v1"}
r,l,t
38.0,38,9.567102
31.0,31,9.584151
15.0,15,9.595003
70.0,70,9.640106
56.0,56,9.676045
58.0,58,9.71213
43.0,43,9.739928
57.0,57,9.769889
96.0,96,9.829977
97.0,97,11.0299
37.0,37,11.056821
13.0,13,11.064865
41.0,41,11.090002
61.0,61,11.127961
37.0,37,11.149814
61.0,61,11.182853
49.0,49,11.214858
123.0,123,11.29382
68.0,68,11.329941
35.0,35,11.359954
161.0,161,11.453191
84.0,84,11.51001
174.0,174,11.614858
85.0,85,11.666847
114.0,114,11.740139
57.0,57,11.772058
74.0,74,11.81992
67.0,67,11.860003
85.0,85,11.912058
15.0,15,11.922138
79.0,79,11.969886
65.0,65,12.009812
124.0,124,12.082212
122.0,122,12.162164
45.0,45,12.190033
21.0,21,12.201159
93.0,93,13.559822
80.0,80,13.62556
143.0,143,13.729824
143.0,143,13.820094
286.0,286,13.98999
136.0,136,14.069913
92.0,92,14.123865
119.0,119,14.190025
58.0,58,14.22998
138.0,138,14.310077
181.0,181,14.437314
73.0,73,14.482229
136.0,136,14.565996
26.0,26,14.581888
84.0,84,14.634139
136.0,136,14.716026
163.0,163,14.814813
80.0,80,16.166184
146.0,146,16.272051
154.0,154,16.380074
122.0,122,16.454966
205.0,205,16.577842
155.0,155,16.669806
162.0,162,16.76477
194.0,194,16.88261
169.0,169,16.984068
221.0,221,17.119734
126.0,126,17.192106
66.0,66,17.234948
145.0,145,17.325499
344.0,344,18.830028
98.0,98,18.904468
274.0,274,19.072075
339.0,339,19.27965
383.0,383,19.514249
282.0,282,19.689807
218.0,218,19.819769
377.0,377,21.315796
220.0,220,21.469919
104.0,104,21.529808
338.0,338,21.739826
224.0,224,21.869613
162.0,162,21.969726
291.0,291,22.150014
98.0,98,22.209741
235.0,235,22.350008
195.0,195,22.475777
284.0,284,23.901849
154.0,154,23.995584
342.0,342,24.209704
184.0,184,24.321043
150.0,150,24.409891
212.0,212,24.545371
193.0,193,24.659543
204.0,204,24.779622
211.0,211,24.909596
200.0,200,26.289834
479.0,479,26.599875
258.0,258,26.759554
187.0,187,26.87422
294.0,294,27.049648
155.0,155,27.139845
238.0,238,27.279506
204.0,204,27.401123
302.0,302,28.833935
500.0,500,29.152669
312.0,312,29.339517
371.0,371,29.569597
187.0,187,29.679843
499.0,499,29.979832
274.0,274,31.405699
182.0,182,31.523121
500.0,500,31.819454
419.0,419,32.075214
280.0,280,32.243704
368.0,368,32.47985
500.0,500,34.081883
500.0,500,34.376851
500.0,500,34.67987
500.0,500,34.986403
500.0,500,36.583911
398.0,398,36.829455
500.0,500,37.13389
500.0,500,37.440571
500.0,500,39.017761
392.0,392,39.25938
500.0,500,39.559408
500.0,500,39.864048
282.0,282,40.031842
500.0,500,41.609536
500.0,500,41.919546
500.0,500,42.229446
500.0,500,42.532019
500.0,500,44.139686
500.0,500,44.470154
500.0,500,44.919348
500.0,500,45.259771
500.0,500,47.080467
500.0,500,47.409517
500.0,500,47.721359
500.0,500,48.049342
500.0,500,49.673765
500.0,500,49.979404
500.0,500,50.299718
500.0,500,50.626808
500.0,500,52.269645
500.0,500,52.589368
179.0,179,52.699527
345.0,345,52.90964
215.0,215,53.041693
500.0,500,53.349442
500.0,500,55.10922
361.0,361,55.349401
500.0,500,55.665515
232.0,232,55.799541
500.0,500,56.11919
500.0,500,57.849289
500.0,500,58.179188
349.0,349,58.389533
500.0,500,58.699342
500.0,500,60.269083
500.0,500,60.579366
500.0,500,60.871761
500.0,500,61.179497
500.0,500,62.779309
500.0,500,63.124902
500.0,500,63.455632
500.0,500,63.771547
500.0,500,65.600598
500.0,500,65.959092
500.0,500,66.259411
500.0,500,66.560217
