#{"t_start": 1765748906.178321, "env_id": "CartPole-v1"}
r,l,t
25.0,25,2.881271
55.0,55,2.945157
14.0,14,2.959729
26.0,26,2.986342
14.0,14,3.00202
37.0,37,3.042328
15.0,15,3.059993
21.0,21,3.079943
13.0,13,3.099771
13.0,13,3.109956
12.0,12,3.122391
65.0,65,3.179998
38.0,38,3.216968
15.0,15,3.229849
22.0,22,3.250078
32.0,32,3.290171
38.0,38,3.343165
17.0,17,3.359927
19.0,19,3.379838
20.0,20,3.399752
28.0,28,3.432363
45.0,45,3.478623
16.0,16,3.497751
65.0,65,3.560144
19.0,19,3.576453
28.0,28,3.604162
12.0,12,3.616701
53.0,53,3.669797
42.0,42,3.711491
28.0,28,3.737752
14.0,14,3.749752
25.0,25,3.773253
45.0,45,3.813496
12.0,12,3.824197
10.0,10,3.832475
33.0,33,3.860032
11.0,11,3.867929
12.0,12,3.880176
29.0,29,3.905503
42.0,42,3.940403
22.0,22,3.95897
15.0,15,3.971137
41.0,41,4.000237
10.0,10,4.009826
63.0,63,4.062155
16.0,16,4.070768
37.0,37,4.106723
19.0,19,4.12112
15.0,15,4.132044
51.0,51,4.16993
18.0,18,4.183848
12.0,12,4.189921
31.0,31,4.209772
31.0,31,4.232177
12.0,12,4.240235
42.0,42,4.264028
49.0,49,4.296066
10.0,10,4.302243
21.0,21,4.317014
11.0,11,4.320102
18.0,18,4.332286
11.0,11,4.345216
14.0,14,4.352114
17.0,17,4.361247
18.0,18,4.379779
27.0,27,4.394408
36.0,36,4.420117
12.0,12,4.425978
19.0,19,4.439922
43.0,43,4.459935
33.0,33,4.480001
15.0,15,4.500121
14.0,14,4.509775
49.0,49,4.542369
23.0,23,4.562373
17.0,17,4.57989
18.0,18,4.594949
28.0,28,4.616827
9.0,9,4.619963
38.0,38,6.176109
36.0,36,6.197958
41.0,41,6.226141
51.0,51,6.254856
20.0,20,6.272097
22.0,22,6.282489
44.0,44,6.310156
16.0,16,6.320043
36.0,36,6.346022
46.0,46,6.37006
20.0,20,6.383868
15.0,15,6.394906
12.0,12,6.399953
25.0,25,6.417474
104.0,104,6.474914
48.0,48,6.50488
43.0,43,6.529976
24.0,24,6.543966
11.0,11,6.554897
51.0,51,6.58014
26.0,26,6.6002
45.0,45,6.623858
27.0,27,6.644887
24.0,24,6.655939
30.0,30,6.67205
20.0,20,6.68792
22.0,22,6.699953
59.0,59,6.735925
120.0,120,6.80488
55.0,55,6.840121
25.0,25,6.853659
11.0,11,6.864879
35.0,35,6.885898
26.0,26,6.899953
38.0,38,6.919996
33.0,33,6.939938
19.0,19,6.95489
20.0,20,6.965899
13.0,13,6.969956
17.0,17,6.982068
15.0,15,6.989786
31.0,31,7.009912
37.0,37,7.029907
28.0,28,7.045917
25.0,25,7.06208
30.0,30,7.07998
22.0,22,7.093891
24.0,24,7.104862
42.0,42,7.129962
70.0,70,7.173876
37.0,37,7.199797
19.0,19,7.210111
42.0,42,7.237932
22.0,22,7.250143
15.0,15,7.259831
27.0,27,7.274882
13.0,13,7.285881
54.0,54,7.319985
58.0,58,7.358785
33.0,33,7.381951
34.0,34,7.402143
23.0,23,7.418251
18.0,18,8.573983
17.0,17,8.586268
19.0,19,8.597554
31.0,31,8.618184
39.0,39,8.640129
24.0,24,8.654267
76.0,76,8.699991
22.0,22,8.718385
19.0,19,8.732073
47.0,47,8.764272
19.0,19,8.772378
69.0,69,8.817466
21.0,21,8.829909
34.0,34,8.849901
26.0,26,8.864853
36.0,36,8.88489
14.0,14,8.896938
91.0,91,8.95374
53.0,53,8.984957
33.0,33,9.004989
85.0,85,9.054971
17.0,17,9.065974
21.0,21,9.082227
34.0,34,9.100062
26.0,26,9.11909
83.0,83,9.169771
34.0,34,9.189894
25.0,25,9.204852
78.0,78,9.25017
105.0,105,9.314952
73.0,73,9.364827
51.0,51,9.394863
52.0,52,9.424855
113.0,113,9.494868
19.0,19,9.5097
20.0,20,9.520157
20.0,20,9.535093
15.0,15,9.545021
