#{"t_start": 1765748656.4548, "env_id": "CartPole-v1"}
r,l,t
15.0,15,1.969677
40.0,40,1.99911
9.0,9,2.007315
29.0,29,2.0265
17.0,17,2.036188
32.0,32,2.056407
45.0,45,2.086418
30.0,30,2.106266
33.0,33,2.130235
13.0,13,2.136344
29.0,29,2.156439
25.0,25,2.166508
26.0,26,2.186277
15.0,15,2.196613
13.0,13,2.206392
25.0,25,2.226093
9.0,9,2.227148
12.0,12,2.236134
20.0,20,2.250295
34.0,34,2.266591
22.0,22,2.286516
33.0,33,2.30819
21.0,21,2.324012
16.0,16,2.336186
12.0,12,2.341019
21.0,21,2.356169
19.0,19,2.366142
16.0,16,2.376341
22.0,22,2.396248
11.0,11,2.404139
12.0,12,2.411462
17.0,17,2.426401
15.0,15,2.438683
12.0,12,2.448391
19.0,19,2.460528
12.0,12,2.468935
17.0,17,2.54647
14.0,14,2.580958
54.0,54,2.646399
34.0,34,2.676375
24.0,24,2.697326
15.0,15,2.706259
24.0,24,2.731302
27.0,27,2.752166
13.0,13,2.766078
44.0,44,2.803224
27.0,27,2.826439
14.0,14,2.836384
15.0,15,2.854614
20.0,20,2.870005
14.0,14,2.886539
48.0,48,2.927538
12.0,12,2.936304
15.0,15,2.951708
17.0,17,2.96616
14.0,14,2.97638
9.0,9,2.984743
14.0,14,2.9965
25.0,25,3.016152
17.0,17,3.026449
14.0,14,3.040237
23.0,23,3.056248
26.0,26,3.076152
53.0,53,3.118286
13.0,13,3.128476
9.0,9,3.13262
17.0,17,3.146135
13.0,13,3.156525
17.0,17,3.16664
14.0,14,3.176463
20.0,20,3.190031
20.0,20,3.207587
15.0,15,3.218426
16.0,16,3.232265
23.0,23,3.251374
20.0,20,3.266452
19.0,19,3.276522
14.0,14,3.292612
57.0,57,3.336558
13.0,13,3.346539
31.0,31,3.376436
17.0,17,3.390467
43.0,43,3.425059
28.0,28,3.443831
18.0,18,3.457312
41.0,41,3.487676
14.0,14,3.499495
16.0,16,3.507196
18.0,18,3.517932
25.0,25,3.536556
13.0,13,3.546113
23.0,23,3.560221
23.0,23,3.577333
10.0,10,3.586129
35.0,35,4.814263
18.0,18,4.826328
20.0,20,4.838398
27.0,27,4.853713
28.0,28,4.87053
10.0,10,4.876051
24.0,24,4.892143
14.0,14,4.9022
20.0,20,4.916386
14.0,14,4.923942
48.0,48,4.951937
16.0,16,4.963681
19.0,19,4.976452
19.0,19,4.987516
11.0,11,4.987516
20.0,20,5.006436
81.0,81,5.056332
22.0,22,5.069378
53.0,53,5.105997
33.0,33,5.126486
15.0,15,5.136196
28.0,28,5.151893
17.0,17,5.166215
26.0,26,5.180572
53.0,53,5.212096
20.0,20,5.21633
34.0,34,5.246151
18.0,18,5.256298
21.0,21,5.266482
33.0,33,5.28626
17.0,17,5.296218
49.0,49,5.326193
9.0,9,5.326193
14.0,14,5.342135
29.0,29,5.35921
23.0,23,5.376069
33.0,33,5.39613
13.0,13,5.407211
35.0,35,5.426364
15.0,15,5.44022
30.0,30,5.456442
82.0,82,5.50841
16.0,16,5.52023
28.0,28,5.53844
24.0,24,5.558686
24.0,24,5.575065
34.0,34,5.599627
34.0,34,5.618409
15.0,15,5.636414
23.0,23,5.65276
17.0,17,5.668383
23.0,23,5.692565
46.0,46,5.726039
10.0,10,5.736182
18.0,18,5.753093
29.0,29,5.767822
26.0,26,5.786346
30.0,30,5.806315
104.0,104,5.893404
18.0,18,5.907619
18.0,18,5.923585
17.0,17,5.936666
18.0,18,5.953004
11.0,11,5.956299
42.0,42,5.986509
21.0,21,6.006276
39.0,39,6.038269
18.0,18,6.052927
144.0,144,6.160699
73.0,73,6.207667
59.0,59,7.536349
32.0,32,7.558253
33.0,33,7.576465
77.0,77,7.634509
70.0,70,7.676172
25.0,25,7.690891
16.0,16,7.704289
154.0,154,7.806319
21.0,21,7.836736
17.0,17,7.858386
22.0,22,7.886475
107.0,107,7.999323
28.0,28,8.016445
24.0,24,8.031525
69.0,69,8.076376
97.0,97,8.136338
61.0,61,8.17638
14.0,14,8.186521
16.0,16,8.196273
82.0,82,8.24622
115.0,115,8.316498
51.0,51,8.346342
30.0,30,8.366144
59.0,59,8.396066
77.0,77,8.446058
19.0,19,8.456394
19.0,19,8.466049
47.0,47,8.496071
27.0,27,8.506213
20.0,20,8.516145
20.0,20,8.536194
87.0,87,8.586046
16.0,16,8.596352
35.0,35,8.616087
55.0,55,8.65848
39.0,39,8.67651
25.0,25,8.696348
27.0,27,8.716124
69.0,69,8.757554
62.0,62,8.796485
41.0,41,8.826491
15.0,15,8.839704
30.0,30,8.858232
48.0,48,8.887597
73.0,73,10.1262
56.0,56,10.160137
49.0,49,10.191978
120.0,120,10.266032
31.0,31,10.286208
49.0,49,10.316097
62.0,62,10.355682
48.0,48,10.376244
31.0,31,10.396415
101.0,101,10.455945
166.0,166,10.556151
31.0,31,10.582964
104.0,104,10.646487
126.0,126,10.716012
52.0,52,10.746017
36.0,36,10.776001
59.0,59,10.807614
33.0,33,10.826175
24.0,24,10.846183
74.0,74,10.890483
66.0,66,10.926115
22.0,22,10.946225
57.0,57,10.976098
114.0,114,11.052008
50.0,50,11.086045
32.0,32,11.106334
53.0,53,11.138683
79.0,79,11.186079
51.0,51,11.216355
55.0,55,11.248674
33.0,33,11.268398
38.0,38,11.290582
45.0,45,11.318353
34.0,34,11.338255
54.0,54,12.558414
54.0,54,12.594476
59.0,59,12.630406
52.0,52,12.662522
233.0,233,12.805982
99.0,99,12.866069
24.0,24,12.876387
114.0,114,12.946455
232.0,232,13.085968
151.0,151,13.186079
81.0,81,13.236105
170.0,170,13.336014
125.0,125,13.415982
70.0,70,13.462136
133.0,133,13.53626
59.0,59,13.580402
45.0,45,13.60643
126.0,126,13.677128
112.0,112,13.746062
129.0,129,14.986194
206.0,206,15.109325
166.0,166,15.208129
237.0,237,15.348223
163.0,163,15.448522
94.0,94,15.508241
178.0,178,15.608579
128.0,128,15.68845
175.0,175,15.790481
132.0,132,15.869951
276.0,276,16.027874
144.0,144,16.116363
458.0,458,17.58628
276.0,276,18.263156
209.0,209,18.485954
138.0,138,18.626078
201.0,201,18.838091
276.0,276,19.137147
198.0,198,19.366353
314.0,314,19.608276
350.0,350,21.188448
264.0,264,21.38605
462.0,462,21.698467
155.0,155,21.800657
244.0,244,21.944245
500.0,500,22.406142
500.0,500,24.456238
325.0,325,24.845865
500.0,500,25.401055
500.0,500,25.76855
428.0,428,27.380282
210.0,210,27.505766
368.0,368,27.746055
389.0,389,28.066229
500.0,500,28.455774
436.0,436,28.770011
500.0,500,30.436112
500.0,500,30.736021
500.0,500,31.036263
500.0,500,31.383569
426.0,426,33.206157
452.0,452,33.576184
205.0,205,33.750389
351.0,351,34.006101
463.0,463,34.402122
283.0,283,35.958377
500.0,500,36.287224
260.0,260,36.461475
491.0,491,36.835877
500.0,500,37.22608
500.0,500,38.945736
290.0,290,39.171738
500.0,500,39.555701
500.0,500,39.959326
500.0,500,40.296048
500.0,500,41.854316
500.0,500,42.416406
500.0,500,42.849781
500.0,500,43.156008
500.0,500,44.999944
500.0,500,45.343907
500.0,500,45.67616
500.0,500,46.038558
500.0,500,47.619631
500.0,500,48.076739
500.0,500,48.441271
500.0,500,48.81581
500.0,500,50.842133
500.0,500,51.160655
500.0,500,51.485886
500.0,500,51.795732
500.0,500,53.273677
500.0,500,53.635927
500.0,500,53.986045
500.0,500,54.342784
500.0,500,56.455681
500.0,500,56.868761
500.0,500,57.19576
500.0,500,57.531536
500.0,500,59.241847
500.0,500,59.566919
500.0,500,59.87552
500.0,500,60.185889
500.0,500,61.805758
500.0,500,62.14751
500.0,500,62.463836
500.0,500,62.812573
500.0,500,64.549881
500.0,500,64.900201
500.0,500,65.203338
500.0,500,65.640008
500.0,500,68.155767
500.0,500,68.485781
500.0,500,68.791316
500.0,500,69.095484
500.0,500,69.395403
500.0,500,70.988879
500.0,500,71.285471
500.0,500,71.589038
500.0,500,71.885412
