#{"t_start": 1765748742.7121987, "env_id": "CartPole-v1"}
r,l,t
215.0,215,20.104287
304.0,304,20.289922
196.0,196,20.410212
138.0,138,20.500004
109.0,109,20.567742
359.0,359,20.79101
193.0,193,20.927801
174.0,174,21.040094
224.0,224,21.179663
197.0,197,21.299837
230.0,230,22.571656
397.0,397,22.814783
454.0,454,23.098991
124.0,124,23.170032
500.0,500,23.480156
276.0,276,23.650065
106.0,106,23.709957
43.0,43,24.993003
399.0,399,25.267577
468.0,468,25.550194
434.0,434,25.812873
230.0,230,25.959845
181.0,181,26.07008
275.0,275,26.237635
297.0,297,27.809905
385.0,385,28.053038
500.0,500,28.357566
394.0,394,28.599886
366.0,366,28.819745
500.0,500,30.417641
500.0,500,30.719799
500.0,500,31.027679
500.0,500,31.337847
500.0,500,32.929639
500.0,500,33.230023
500.0,500,33.537475
500.0,500,33.842614
500.0,500,35.437569
500.0,500,35.740021
500.0,500,36.049654
500.0,500,36.357507
500.0,500,37.923172
500.0,500,38.227437
500.0,500,38.527388
500.0,500,38.819614
500.0,500,40.407514
500.0,500,40.717601
500.0,500,41.017437
500.0,500,41.314038
500.0,500,42.917662
500.0,500,43.327634
500.0,500,43.627586
500.0,500,43.94364
500.0,500,45.530908
500.0,500,45.857265
500.0,500,46.157598
500.0,500,46.457358
500.0,500,48.007277
500.0,500,48.339721
500.0,500,48.661905
500.0,500,48.95745
500.0,500,49.277754
500.0,500,50.879613
500.0,500,51.187706
500.0,500,51.491569
500.0,500,51.793345
500.0,500,53.417502
500.0,500,53.727295
500.0,500,54.037503
500.0,500,54.337625
500.0,500,55.919464
500.0,500,56.219419
500.0,500,56.51946
500.0,500,56.822438
500.0,500,58.437465
500.0,500,58.737487
500.0,500,59.037678
500.0,500,59.36731
500.0,500,60.963516
500.0,500,61.259632
500.0,500,61.559384
500.0,500,61.86129
500.0,500,63.455528
500.0,500,63.767101
500.0,500,64.067499
500.0,500,64.37746
