#{"t_start": 1765748987.0046098, "env_id": "CartPole-v1"}
r,l,t
25.0,25,1.696987
55.0,55,1.740857
14.0,14,1.752943
26.0,26,1.774016
14.0,14,1.782896
37.0,37,1.812886
15.0,15,1.823039
21.0,21,1.843987
13.0,13,1.852935
13.0,13,1.862811
12.0,12,1.862811
65.0,65,1.912721
38.0,38,1.942965
15.0,15,1.953114
22.0,22,1.963005
32.0,32,1.98882
38.0,38,2.012729
17.0,17,2.022909
19.0,19,2.03777
20.0,20,2.042836
28.0,28,2.069244
45.0,45,2.097797
16.0,16,2.107769
65.0,65,2.148841
19.0,19,2.157772
28.0,28,2.172729
12.0,12,2.18301
53.0,53,2.217828
42.0,42,2.245796
28.0,28,2.265045
14.0,14,2.277942
25.0,25,2.297518
45.0,45,2.329012
12.0,12,2.337815
10.0,10,2.344991
33.0,33,2.37281
11.0,11,2.383052
12.0,12,2.394959
29.0,29,2.417937
42.0,42,2.442875
22.0,22,2.465308
15.0,15,2.472832
41.0,41,2.505044
10.0,10,2.515292
63.0,63,2.558026
16.0,16,2.5698
37.0,37,2.593017
19.0,19,2.602975
15.0,15,2.618881
51.0,51,2.650829
18.0,18,2.657971
12.0,12,2.666531
31.0,31,2.684816
31.0,31,2.71301
12.0,12,2.722605
42.0,42,2.752607
49.0,49,2.784819
10.0,10,2.794898
21.0,21,2.805007
11.0,11,2.813033
18.0,18,2.830842
11.0,11,2.839913
14.0,14,2.847525
17.0,17,2.857804
18.0,18,2.875012
27.0,27,2.892638
36.0,36,2.91305
12.0,12,2.925255
19.0,19,2.941025
43.0,43,2.967922
33.0,33,2.99263
15.0,15,3.002708
14.0,14,3.012872
49.0,49,3.087363
23.0,23,3.105199
17.0,17,3.122814
18.0,18,3.134971
28.0,28,3.158195
9.0,9,3.167937
102.0,102,4.452822
78.0,78,4.498837
47.0,47,4.530107
21.0,21,4.542691
27.0,27,4.56129
98.0,98,4.622581
13.0,13,4.622581
11.0,11,4.636569
22.0,22,4.65274
48.0,48,4.682781
60.0,60,4.717494
108.0,108,4.782906
34.0,34,4.802933
76.0,76,4.852602
30.0,30,4.87687
35.0,35,4.902599
47.0,47,4.93259
24.0,24,4.947764
75.0,75,4.992841
51.0,51,5.022593
30.0,30,5.042902
9.0,9,5.047774
10.0,10,5.053058
25.0,25,5.072612
46.0,46,5.112732
43.0,43,5.152887
40.0,40,5.195118
69.0,69,5.262877
54.0,54,5.312816
12.0,12,5.322667
17.0,17,5.337898
11.0,11,5.342946
12.0,12,5.362717
34.0,34,5.392623
28.0,28,5.417092
60.0,60,5.465033
20.0,20,5.477129
52.0,52,5.510914
68.0,68,5.55273
25.0,25,5.56894
43.0,43,5.594917
57.0,57,5.630698
20.0,20,5.642797
22.0,22,5.656955
38.0,38,5.678921
14.0,14,5.689012
13.0,13,5.69711
16.0,16,5.707194
85.0,85,5.760163
57.0,57,5.797042
34.0,34,7.197986
85.0,85,7.275632
20.0,20,7.292838
46.0,46,7.349698
149.0,149,7.74896
30.0,30,7.877121
136.0,136,8.10619
146.0,146,8.336902
62.0,62,8.432904
38.0,38,8.492672
98.0,98,8.622541
18.0,18,8.64266
37.0,37,8.686043
59.0,59,8.755152
114.0,114,8.89253
192.0,192,9.122842
144.0,144,9.344939
119.0,119,9.536641
83.0,83,9.665719
146.0,146,9.956841
114.0,114,10.048706
71.0,71,10.097865
127.0,127,10.186701
194.0,194,11.782917
229.0,229,11.962561
117.0,117,12.054593
66.0,66,12.108754
274.0,274,12.280535
142.0,142,12.369039
248.0,248,12.524901
140.0,140,12.62905
313.0,313,12.938787
170.0,170,13.118915
40.0,40,13.152479
196.0,196,14.754273
272.0,272,14.996082
324.0,324,15.266978
248.0,248,15.492769
274.0,274,15.752439
216.0,216,15.954699
251.0,251,16.182605
140.0,140,16.294715
302.0,302,17.722627
150.0,150,17.814744
283.0,283,17.984628
348.0,348,18.192627
270.0,270,18.352626
500.0,500,18.822738
365.0,365,19.194739
427.0,427,21.052698
353.0,353,21.426277
287.0,287,21.714777
489.0,489,22.071376
436.0,436,22.356805
500.0,500,23.83482
500.0,500,24.144912
500.0,500,24.472071
393.0,393,24.722724
500.0,500,26.452235
500.0,500,26.792454
500.0,500,27.124931
500.0,500,27.467538
500.0,500,29.312505
500.0,500,29.743417
466.0,466,30.054924
500.0,500,30.394902
108.0,108,30.458326
96.0,96,30.514704
500.0,500,32.344667
500.0,500,32.750826
278.0,278,32.992319
360.0,360,33.228215
179.0,179,33.339274
500.0,500,35.132561
500.0,500,35.729263
500.0,500,36.262418
500.0,500,36.732545
500.0,500,37.0748
500.0,500,39.034527
500.0,500,39.338816
500.0,500,39.642378
500.0,500,39.952476
500.0,500,41.64431
500.0,500,42.004638
500.0,500,42.334578
500.0,500,43.122671
500.0,500,45.514475
500.0,500,45.874417
500.0,500,46.222544
500.0,500,46.590659
500.0,500,48.314699
500.0,500,48.614396
500.0,500,48.94733
500.0,500,49.252209
500.0,500,50.844648
500.0,500,51.176425
500.0,500,51.534657
500.0,500,51.834699
500.0,500,53.454246
500.0,500,53.872167
500.0,500,54.182436
500.0,500,54.494284
500.0,500,56.10047
500.0,500,56.41461
500.0,500,56.724209
500.0,500,57.034325
500.0,500,58.622169
500.0,500,58.944541
500.0,500,59.24219
500.0,500,59.542214
500.0,500,61.254232
500.0,500,61.67329
500.0,500,61.990118
500.0,500,62.284193
500.0,500,63.938589
500.0,500,64.272323
500.0,500,64.664726
500.0,500,65.074389
500.0,500,66.642092
500.0,500,66.987129
500.0,500,67.284519
500.0,500,67.592062
500.0,500,67.901961
500.0,500,69.518124
500.0,500,69.822233
500.0,500,70.125578
500.0,500,70.421818
500.0,500,72.022175
500.0,500,72.332168
500.0,500,72.632228
500.0,500,72.942228
