#{"t_start": 1765748816.2495422, "env_id": "CartPole-v1"}
r,l,t
57.0,57,12.961986
19.0,19,12.969444
65.0,65,13.019832
25.0,25,13.037022
31.0,31,13.058047
51.0,51,13.096294
47.0,47,13.134588
46.0,46,13.169538
55.0,55,13.213819
42.0,42,13.243715
16.0,16,13.256324
22.0,22,13.269804
15.0,15,13.280416
13.0,13,13.296067
27.0,27,13.3158
41.0,41,13.339937
34.0,34,13.366291
39.0,39,13.38967
33.0,33,13.409856
33.0,33,13.434381
46.0,46,13.463167
31.0,31,13.479989
92.0,92,13.539966
25.0,25,13.559907
23.0,23,13.574306
15.0,15,13.579911
49.0,49,13.619496
24.0,24,13.639751
39.0,39,13.669807
47.0,47,13.71977
40.0,40,13.749782
20.0,20,13.76964
9.0,9,13.780622
43.0,43,13.811968
31.0,31,13.833703
32.0,32,13.855046
19.0,19,13.862467
14.0,14,13.869832
39.0,39,13.903918
29.0,29,13.923954
50.0,50,13.957345
98.0,98,14.024284
64.0,64,15.454625
29.0,29,15.477326
14.0,14,15.489961
48.0,48,15.519537
15.0,15,15.538098
34.0,34,15.564076
42.0,42,15.599494
22.0,22,15.616004
144.0,144,15.720026
41.0,41,15.746608
43.0,43,15.775454
30.0,30,15.795758
27.0,27,15.813463
84.0,84,15.880347
36.0,36,15.913757
125.0,125,16.015264
28.0,28,16.036358
13.0,13,16.04418
51.0,51,16.08056
40.0,40,16.099686
26.0,26,16.125956
43.0,43,16.155944
30.0,30,16.176891
44.0,44,16.205976
49.0,49,16.237872
21.0,21,16.250243
28.0,28,16.270026
80.0,80,16.328787
30.0,30,16.349565
42.0,42,16.380798
25.0,25,16.399592
47.0,47,16.439596
57.0,57,16.489435
16.0,16,16.499435
31.0,31,16.519578
29.0,29,16.545956
98.0,98,16.612613
15.0,15,16.622157
82.0,82,16.66969
26.0,26,16.689856
37.0,37,16.715176
27.0,27,16.732909
51.0,51,16.761979
38.0,38,16.782087
42.0,42,16.811671
36.0,36,16.831931
33.0,33,16.857765
32.0,32,16.878169
19.0,19,16.891749
19.0,19,16.902008
93.0,93,18.344791
55.0,55,18.383556
37.0,37,18.409418
43.0,43,18.440908
47.0,47,18.469639
25.0,25,18.489686
31.0,31,18.505588
38.0,38,18.529719
21.0,21,18.540046
34.0,34,18.569459
83.0,83,18.630699
53.0,53,18.678897
26.0,26,18.699631
40.0,40,18.730711
49.0,49,18.765964
43.0,43,18.794347
26.0,26,18.812089
21.0,21,18.825462
18.0,18,18.837291
43.0,43,18.864197
22.0,22,18.877561
36.0,36,18.899465
25.0,25,18.91465
27.0,27,18.929489
25.0,25,18.942623
39.0,39,18.96976
23.0,23,18.97954
14.0,14,18.990981
72.0,72,19.029562
52.0,52,19.069753
55.0,55,19.099747
62.0,62,19.139458
17.0,17,19.149788
31.0,31,19.169863
41.0,41,19.199643
36.0,36,19.229415
85.0,85,19.299841
76.0,76,19.359732
28.0,28,19.382667
18.0,18,19.395945
95.0,95,19.458566
23.0,23,19.472925
41.0,41,19.493648
43.0,43,19.521933
54.0,54,19.55574
64.0,64,19.592064
84.0,84,19.643534
31.0,31,19.663717
35.0,35,21.051497
81.0,81,21.12724
46.0,46,21.166108
45.0,45,21.201245
37.0,37,21.230596
43.0,43,21.254567
52.0,52,21.291491
42.0,42,21.314537
75.0,75,21.361658
47.0,47,21.389724
81.0,81,21.439816
30.0,30,21.458783
47.0,47,21.479758
91.0,91,21.549885
78.0,78,21.609744
40.0,40,21.639832
20.0,20,21.649485
45.0,45,21.68974
150.0,150,21.80204
37.0,37,21.819948
35.0,35,21.849859
61.0,61,21.879694
44.0,44,21.909535
51.0,51,21.944044
42.0,42,21.96939
72.0,72,22.009577
139.0,139,22.099757
69.0,69,22.146831
27.0,27,22.164409
21.0,21,22.182066
45.0,45,22.218371
45.0,45,22.249503
77.0,77,22.315128
94.0,94,22.378206
46.0,46,22.408802
35.0,35,22.431559
56.0,56,23.829748
163.0,163,23.949688
39.0,39,23.983668
129.0,129,24.086785
43.0,43,24.11779
26.0,26,24.129701
56.0,56,24.175717
45.0,45,24.205184
27.0,27,24.222591
20.0,20,24.236187
29.0,29,24.254093
43.0,43,24.279727
25.0,25,24.294195
18.0,18,24.299822
40.0,40,24.329811
92.0,92,24.379475
104.0,104,24.44972
112.0,112,24.519516
49.0,49,24.559723
183.0,183,24.699808
57.0,57,24.743057
32.0,32,24.765879
23.0,23,24.779883
75.0,75,24.827783
31.0,31,24.848023
60.0,60,24.880175
41.0,41,24.915618
64.0,64,24.958229
28.0,28,24.969471
22.0,22,24.989529
110.0,110,25.064345
31.0,31,25.089462
67.0,67,25.13956
24.0,24,25.159547
42.0,42,25.191628
99.0,99,26.629669
29.0,29,26.651792
45.0,45,26.685705
31.0,31,26.707333
53.0,53,26.739697
69.0,69,26.791907
92.0,92,26.864072
63.0,63,26.91974
312.0,312,27.155679
152.0,152,27.245992
130.0,130,27.321952
29.0,29,27.34162
54.0,54,27.371578
49.0,49,27.413272
38.0,38,27.439333
15.0,15,27.449672
128.0,128,27.559636
46.0,46,27.598584
71.0,71,27.65202
35.0,35,27.676228
47.0,47,27.706127
141.0,141,27.789464
32.0,32,27.81057
49.0,49,27.839486
47.0,47,27.859691
46.0,46,27.891841
57.0,57,27.929643
136.0,136,28.019426
83.0,83,29.381728
60.0,60,29.419589
11.0,11,29.422655
105.0,105,29.489552
