#{"t_start": 1765749805.9470918, "env_id": "CartPole-v1"}
r,l,t
85.0,85,18.66413
177.0,177,18.809284
220.0,220,18.947182
195.0,195,19.065382
245.0,245,19.215343
124.0,124,19.295434
264.0,264,19.455375
256.0,256,19.618096
130.0,130,19.698037
121.0,121,19.775019
276.0,276,19.943187
333.0,333,21.28291
79.0,79,21.337957
127.0,127,21.412919
237.0,237,21.563123
219.0,219,21.695271
300.0,300,21.885257
76.0,76,21.93162
263.0,263,22.093094
182.0,182,22.213113
285.0,285,23.52634
283.0,283,23.693047
182.0,182,23.804915
195.0,195,23.926991
174.0,174,24.035204
135.0,135,24.115373
259.0,259,24.283821
103.0,103,24.346934
197.0,197,24.465136
265.0,265,24.633031
252.0,252,26.024235
86.0,86,26.08635
187.0,187,26.213178
158.0,158,26.30508
197.0,197,26.423137
192.0,192,26.542935
474.0,474,26.832968
155.0,155,26.922909
56.0,56,26.957881
227.0,227,27.097952
87.0,87,27.145326
432.0,432,28.756946
105.0,105,28.833131
143.0,143,28.921985
209.0,209,29.052926
272.0,272,29.217963
205.0,205,29.334405
247.0,247,29.487943
213.0,213,29.612946
358.0,358,29.835195
500.0,500,31.403081
454.0,454,31.691027
201.0,201,31.812976
95.0,95,31.873134
372.0,372,32.102761
82.0,82,32.15782
153.0,153,32.255069
500.0,500,33.694727
385.0,385,33.938008
432.0,432,34.215262
296.0,296,34.393102
310.0,310,34.592775
153.0,153,34.684914
230.0,230,35.966837
219.0,219,36.113029
170.0,170,36.225007
215.0,215,36.347779
258.0,258,36.511329
94.0,94,36.562842
93.0,93,36.622851
229.0,229,36.757813
233.0,233,36.89784
246.0,246,37.061857
500.0,500,38.694869
181.0,181,38.843915
379.0,379,39.077794
278.0,278,39.244021
151.0,151,39.337802
244.0,244,39.488371
279.0,279,39.656771
226.0,226,39.800807
500.0,500,41.397796
350.0,350,41.617762
150.0,150,41.704962
318.0,318,41.896255
363.0,363,42.117848
500.0,500,43.662669
266.0,266,43.853086
252.0,252,44.013616
500.0,500,44.324947
500.0,500,44.63515
315.0,315,44.825001
500.0,500,46.425137
356.0,356,46.656076
500.0,500,46.965066
222.0,222,47.104781
500.0,500,47.41291
500.0,500,49.046865
500.0,500,49.355411
434.0,434,49.62431
500.0,500,49.946484
364.0,364,51.4328
500.0,500,51.767667
334.0,334,51.966502
500.0,500,52.282731
500.0,500,52.593977
500.0,500,54.192655
331.0,331,54.394758
491.0,491,54.696706
410.0,410,54.948607
500.0,500,56.596838
500.0,500,56.928666
500.0,500,57.242905
500.0,500,57.552691
354.0,354,57.7709
500.0,500,59.426612
500.0,500,59.742712
500.0,500,60.052909
500.0,500,60.372742
500.0,500,61.998265
500.0,500,62.306586
104.0,104,62.362818
500.0,500,62.677547
500.0,500,62.986071
