#{"t_start": 1766689649.4454122, "env_id": "CartPole-v1"}
r,l,t
25.0,25,1.468447
55.0,55,1.502587
14.0,14,1.510117
26.0,26,1.525913
14.0,14,1.534446
37.0,37,1.553755
15.0,15,1.562289
21.0,21,1.573834
13.0,13,1.581866
13.0,13,1.588127
12.0,12,1.596661
65.0,65,1.631533
38.0,38,1.653351
15.0,15,1.661885
22.0,22,1.67343
32.0,32,1.692241
38.0,38,1.713058
17.0,17,1.721593
19.0,19,1.733138
20.0,20,1.744918
28.0,28,1.758975
45.0,45,1.785313
16.0,16,1.79435
65.0,65,1.830225
19.0,19,1.842004
28.0,28,1.856061
12.0,12,1.864091
53.0,53,1.894448
42.0,42,1.918042
28.0,28,1.93437
14.0,14,1.941775
25.0,25,1.949794
45.0,45,1.973529
12.0,12,1.989621
10.0,10,1.989621
33.0,33,2.005295
11.0,11,2.020971
12.0,12,2.032452
29.0,29,2.049019
42.0,42,2.072345
22.0,22,2.086403
15.0,15,2.09493
41.0,41,2.116517
10.0,10,2.122541
63.0,63,2.156407
16.0,16,2.166179
37.0,37,2.18626
19.0,19,2.196301
15.0,15,2.204835
51.0,51,2.232178
18.0,18,2.24272
12.0,12,2.25025
31.0,31,2.26655
31.0,31,2.286139
12.0,12,2.294188
42.0,42,2.330117
49.0,49,2.3625
10.0,10,2.368524
21.0,21,2.382078
11.0,11,2.387836
18.0,18,2.397375
11.0,11,2.403398
14.0,14,2.411429
17.0,17,2.421202
18.0,18,2.431744
27.0,27,2.447304
36.0,36,2.467482
12.0,12,2.475152
19.0,19,2.483168
43.0,43,2.507267
33.0,33,2.522921
15.0,15,2.538594
14.0,14,2.538594
49.0,49,2.569953
23.0,23,2.585648
17.0,17,2.58925
18.0,18,2.601798
28.0,28,2.617473
9.0,9,2.617473
38.0,38,3.762644
24.0,24,3.778206
27.0,27,3.793504
53.0,53,3.823857
28.0,28,3.839417
23.0,23,3.853715
18.0,18,3.863252
26.0,26,3.879048
11.0,11,3.885575
25.0,25,3.899128
21.0,21,3.910909
29.0,29,3.928983
17.0,17,3.938755
28.0,28,3.954819
25.0,25,3.968874
26.0,26,3.983167
99.0,99,4.038624
80.0,80,4.075281
67.0,67,4.127053
33.0,33,4.14536
27.0,27,4.160921
10.0,10,4.166945
21.0,21,4.179228
14.0,14,4.186759
44.0,44,4.210855
14.0,14,4.218385
27.0,27,4.23418
18.0,18,4.242715
28.0,28,4.258276
49.0,49,4.286124
26.0,26,4.302424
32.0,32,4.319993
49.0,49,4.34784
31.0,31,4.366148
42.0,42,4.398303
18.0,18,4.411868
21.0,21,4.425661
38.0,38,4.449768
16.0,16,4.459543
48.0,48,4.490425
19.0,19,4.502984
43.0,43,4.529345
12.0,12,4.536882
16.0,16,4.548939
18.0,18,4.56073
43.0,43,4.583045
26.0,26,4.599991
29.0,29,4.608629
25.0,25,4.62378
20.0,20,4.650859
26.0,26,4.66616
29.0,29,4.683471
27.0,27,4.700256
10.0,10,4.707286
10.0,10,4.71281
59.0,59,4.749785
25.0,25,4.764848
17.0,17,4.774889
19.0,19,4.785936
42.0,42,4.812361
11.0,11,4.815377
26.0,26,4.828356
21.0,21,4.843998
20.0,20,4.843998
42.0,42,4.875312
40.0,40,4.891417
38.0,38,4.923099
35.0,35,4.938773
17.0,17,4.938773
56.0,56,6.099844
15.0,15,6.109611
17.0,17,6.119643
31.0,31,6.137435
29.0,29,6.153221
31.0,31,6.171281
30.0,30,6.185539
40.0,40,6.208531
31.0,31,6.217106
54.0,54,6.24838
36.0,36,6.280205
24.0,24,6.291266
55.0,55,6.312048
45.0,45,6.343583
56.0,56,6.375546
41.0,41,6.407295
63.0,63,6.438661
61.0,61,6.491825
34.0,34,6.501883
68.0,68,6.549839
22.0,22,6.565519
26.0,26,6.581561
30.0,30,6.605436
29.0,29,6.625709
30.0,30,6.642694
45.0,45,6.675887
24.0,24,6.70086
18.0,18,6.709622
24.0,24,6.725854
68.0,68,6.777203
68.0,68,6.831467
63.0,63,6.88193
48.0,48,6.923506
69.0,69,6.965096
48.0,48,6.997523
40.0,40,7.022642
65.0,65,7.064406
25.0,25,7.081209
27.0,27,7.095944
25.0,25,7.121447
35.0,35,7.142525
50.0,50,7.184751
30.0,30,7.192995
66.0,66,7.243181
28.0,28,7.272198
22.0,22,7.288278
39.0,39,7.309251
19.0,19,7.325969
78.0,78,7.376097
13.0,13,7.376097
82.0,82,7.43957
13.0,13,8.652372
47.0,47,8.684237
74.0,74,8.721884
24.0,24,8.7376
35.0,35,8.773174
39.0,39,8.796499
54.0,54,8.83258
54.0,54,8.858827
82.0,82,8.91122
34.0,34,8.919483
86.0,86,8.982782
36.0,36,8.998459
18.0,18,9.014482
12.0,12,9.03023
141.0,141,9.110012
114.0,114,9.193181
48.0,48,9.223281
31.0,31,9.24337
107.0,107,9.311144
35.0,35,9.332979
76.0,76,9.383601
93.0,93,9.439394
20.0,20,9.45553
28.0,28,9.471693
30.0,30,9.493299
71.0,71,9.535365
97.0,97,9.632887
47.0,47,9.664765
73.0,73,9.710434
40.0,40,9.734541
43.0,43,9.760387
144.0,144,9.8558
79.0,79,9.90198
25.0,25,9.918084
36.0,36,9.933737
10.0,10,9.9494
42.0,42,9.965055
89.0,89,11.243265
41.0,41,11.269105
134.0,134,11.342624
118.0,118,11.420106
82.0,82,11.467181
154.0,154,11.556351
120.0,120,11.619833
99.0,99,11.709368
88.0,88,11.76508
116.0,116,11.833095
61.0,61,11.866962
35.0,35,11.887278
161.0,161,11.986718
99.0,99,12.083488
65.0,65,12.131634
173.0,173,12.243321
29.0,29,12.295609
82.0,82,12.389113
135.0,135,12.534675
21.0,21,12.556297
109.0,109,12.781023
149.0,149,14.355416
123.0,123,14.430656
85.0,85,14.500055
103.0,103,14.603035
134.0,134,14.72039
139.0,139,14.827024
113.0,113,14.89854
222.0,222,15.042174
203.0,203,15.166994
84.0,84,15.209239
161.0,161,15.305074
298.0,298,15.51291
157.0,157,15.600929
156.0,156,17.07649
62.0,62,17.128486
70.0,70,17.179446
136.0,136,17.288501
26.0,26,17.304393
115.0,115,17.401076
301.0,301,17.683675
117.0,117,17.771007
220.0,220,17.92323
181.0,181,18.050973
59.0,59,18.09535
67.0,67,18.14951
100.0,100,18.200466
75.0,75,18.244577
123.0,123,18.339775
169.0,169,18.462825
141.0,141,18.586193
85.0,85,20.046195
177.0,177,20.193202
220.0,220,20.338787
195.0,195,20.471078
245.0,245,20.626621
124.0,124,20.713245
264.0,264,20.871232
256.0,256,21.057146
130.0,130,21.136136
121.0,121,21.206791
276.0,276,21.358133
333.0,333,22.656112
79.0,79,22.70839
127.0,127,22.766783
237.0,237,22.90845
219.0,219,23.036698
300.0,300,23.229633
76.0,76,23.292541
263.0,263,23.451522
182.0,182,23.562667
285.0,285,24.825683
283.0,283,24.980294
182.0,182,25.090181
195.0,195,25.235927
174.0,174,25.341314
135.0,135,25.418309
259.0,259,25.560056
103.0,103,25.62312
197.0,197,25.734001
265.0,265,25.872524
252.0,252,27.146351
86.0,86,27.194479
187.0,187,27.301795
158.0,158,27.413261
197.0,197,27.518477
192.0,192,27.629484
474.0,474,27.893331
155.0,155,27.972486
56.0,56,28.014523
227.0,227,28.130232
87.0,87,28.177837
432.0,432,29.582499
105.0,105,29.642162
143.0,143,29.716502
209.0,209,29.825823
272.0,272,29.984566
205.0,205,30.106231
247.0,247,30.232686
213.0,213,30.390044
358.0,358,30.606706
500.0,500,32.020915
454.0,454,32.285213
201.0,201,32.412835
95.0,95,32.460096
372.0,372,32.723893
82.0,82,32.771206
153.0,153,32.86556
500.0,500,34.287828
385.0,385,34.498012
432.0,432,34.766541
296.0,296,34.920714
310.0,310,35.093525
153.0,153,35.188445
230.0,230,36.424327
219.0,219,36.549567
170.0,170,36.659841
215.0,215,36.770411
258.0,258,36.933863
94.0,94,36.99692
93.0,93,37.044961
229.0,229,37.182266
233.0,233,37.330724
246.0,246,37.491822
500.0,500,38.906591
181.0,181,39.010432
379.0,379,39.326259
278.0,278,39.552013
151.0,151,39.626684
244.0,244,39.764686
279.0,279,39.92704
226.0,226,40.047126
500.0,500,41.538015
350.0,350,41.740982
150.0,150,41.835796
318.0,318,42.009115
363.0,363,42.210813
500.0,500,43.68934
266.0,266,43.860598
252.0,252,44.000405
500.0,500,44.284811
500.0,500,44.564971
315.0,315,44.753748
500.0,500,46.147197
356.0,356,46.351738
500.0,500,46.65057
222.0,222,46.808267
500.0,500,47.089359
500.0,500,48.495363
500.0,500,48.767421
434.0,434,49.036461
500.0,500,49.317669
364.0,364,50.669765
500.0,500,50.947046
334.0,334,51.152744
500.0,500,51.437575
500.0,500,51.715938
500.0,500,53.205365
331.0,331,53.407692
491.0,491,53.676171
410.0,410,53.909689
500.0,500,55.341618
500.0,500,55.627847
500.0,500,55.910912
500.0,500,56.195012
354.0,354,56.383713
500.0,500,57.769994
500.0,500,58.042725
500.0,500,58.317295
500.0,500,58.585908
500.0,500,59.963145
500.0,500,60.244226
104.0,104,60.307245
500.0,500,60.594119
500.0,500,60.887779
