#{"t_start": 1765749708.789214, "env_id": "CartPole-v1"}
r,l,t
25.0,25,1.497287
55.0,55,1.5318
14.0,14,1.541741
26.0,26,1.551991
14.0,14,1.562749
37.0,37,1.592035
15.0,15,1.605136
21.0,21,1.621855
13.0,13,1.63051
13.0,13,1.632049
12.0,12,1.641767
65.0,65,1.681963
38.0,38,1.701733
15.0,15,1.721615
22.0,22,1.731622
32.0,32,1.751708
38.0,38,1.778747
17.0,17,1.781882
19.0,19,1.802037
20.0,20,1.81199
28.0,28,1.83187
45.0,45,1.857734
16.0,16,1.861943
65.0,65,1.911783
19.0,19,1.923258
28.0,28,1.939173
12.0,12,1.941849
53.0,53,1.981876
42.0,42,2.004975
28.0,28,2.0251
14.0,14,2.036306
25.0,25,2.051998
45.0,45,2.082065
12.0,12,2.09175
10.0,10,2.102137
33.0,33,2.122952
11.0,11,2.130471
12.0,12,2.132012
29.0,29,2.151908
42.0,42,2.181957
22.0,22,2.191963
15.0,15,2.202003
41.0,41,2.227983
10.0,10,2.231767
63.0,63,2.271754
16.0,16,2.281924
37.0,37,2.307981
19.0,19,2.312038
15.0,15,2.323895
51.0,51,2.355608
18.0,18,2.361883
12.0,12,2.371944
31.0,31,2.391964
31.0,31,2.41187
12.0,12,2.422064
42.0,42,2.441613
49.0,49,2.471819
10.0,10,2.483958
21.0,21,2.491795
11.0,11,2.50193
18.0,18,2.512078
11.0,11,2.515595
14.0,14,2.521964
17.0,17,2.531631
18.0,18,2.551903
27.0,27,2.56834
36.0,36,2.592079
12.0,12,2.599299
19.0,19,2.611965
43.0,43,2.631766
33.0,33,2.651659
15.0,15,2.663712
14.0,14,2.672096
49.0,49,2.701882
23.0,23,2.711925
17.0,17,2.727926
18.0,18,2.732038
28.0,28,2.751833
9.0,9,2.761981
38.0,38,3.922065
36.0,36,3.941874
41.0,41,3.974083
51.0,51,4.007778
20.0,20,4.015558
22.0,22,4.031934
44.0,44,4.061777
16.0,16,4.071864
36.0,36,4.097678
46.0,46,4.130967
20.0,20,4.144225
15.0,15,4.154261
12.0,12,4.162052
25.0,25,4.179331
104.0,104,4.244171
48.0,48,4.273947
43.0,43,4.299956
24.0,24,4.313848
11.0,11,4.319873
51.0,51,4.351886
26.0,26,4.367787
45.0,45,4.3938
27.0,27,4.409916
24.0,24,4.42581
30.0,30,4.443792
20.0,20,4.453897
22.0,22,4.467486
59.0,59,4.504056
120.0,120,4.573795
55.0,55,4.614249
25.0,25,4.629916
11.0,11,4.633991
35.0,35,4.654181
26.0,26,4.675206
38.0,38,4.6975
33.0,33,4.713244
19.0,19,4.729359
20.0,20,4.744005
13.0,13,4.752036
17.0,17,4.761614
15.0,15,4.771688
31.0,31,4.783908
37.0,37,4.811634
28.0,28,4.823764
25.0,25,4.84394
30.0,30,4.863939
22.0,22,4.874045
24.0,24,4.891617
42.0,42,4.913842
70.0,70,4.954211
37.0,37,4.983012
19.0,19,4.994106
42.0,42,5.014791
22.0,22,5.033957
15.0,15,5.041971
27.0,27,5.054023
13.0,13,5.063099
54.0,54,5.10207
58.0,58,5.136734
33.0,33,5.15672
34.0,34,5.176745
23.0,23,5.191773
18.0,18,6.390087
17.0,17,6.40165
19.0,19,6.413941
31.0,31,6.434113
39.0,39,6.461546
24.0,24,6.480181
76.0,76,6.528062
22.0,22,6.541622
19.0,19,6.55374
47.0,47,6.58017
19.0,19,6.591825
69.0,69,6.631927
21.0,21,6.651813
34.0,34,6.672006
26.0,26,6.687019
36.0,36,6.7119
14.0,14,6.721942
91.0,91,6.775804
53.0,53,6.81426
33.0,33,6.836723
85.0,85,6.883406
17.0,17,6.89476
21.0,21,6.911731
34.0,34,6.931977
26.0,26,6.946843
83.0,83,6.996846
34.0,34,7.016899
25.0,25,7.031646
78.0,78,7.081894
105.0,105,7.1467
73.0,73,7.192006
51.0,51,7.221773
52.0,52,7.25672
113.0,113,7.325467
19.0,19,7.336325
20.0,20,7.347669
20.0,20,7.356736
15.0,15,7.363381
38.0,38,7.392086
31.0,31,7.406704
15.0,15,7.416725
70.0,70,7.459784
56.0,56,7.492053
58.0,58,7.523889
43.0,43,7.546701
57.0,57,7.583909
96.0,96,7.641794
97.0,97,9.261511
37.0,37,9.293494
13.0,13,9.303995
41.0,41,9.339866
61.0,61,9.388714
37.0,37,9.421482
61.0,61,9.47875
49.0,49,9.525656
123.0,123,9.631939
68.0,68,9.701606
35.0,35,9.741991
161.0,161,9.888971
84.0,84,9.958049
174.0,174,10.063815
85.0,85,10.124127
114.0,114,10.196195
57.0,57,10.232239
74.0,74,10.291876
67.0,67,10.331891
85.0,85,10.406438
15.0,15,10.426005
79.0,79,10.511785
65.0,65,10.58691
124.0,124,10.706144
122.0,122,10.787233
45.0,45,10.811898
21.0,21,10.823879
93.0,93,12.073917
80.0,80,12.125126
143.0,143,12.211637
143.0,143,12.296696
286.0,286,12.477895
136.0,136,12.559864
92.0,92,12.61962
119.0,119,12.694073
58.0,58,12.729825
138.0,138,12.813873
181.0,181,12.924123
73.0,73,12.971925
136.0,136,13.061902
26.0,26,13.076822
84.0,84,13.129372
136.0,136,13.206661
163.0,163,13.309706
80.0,80,14.671657
146.0,146,14.781884
154.0,154,14.883647
122.0,122,14.961774
205.0,205,15.181593
155.0,155,15.297973
162.0,162,15.401699
194.0,194,15.519795
169.0,169,15.627226
221.0,221,15.799066
126.0,126,15.894665
66.0,66,15.93667
145.0,145,16.025685
344.0,344,17.581935
98.0,98,17.651856
274.0,274,17.82349
339.0,339,18.027678
383.0,383,18.266626
282.0,282,18.433262
218.0,218,18.574034
377.0,377,20.115994
220.0,220,20.26175
104.0,104,20.325852
338.0,338,20.521822
224.0,224,20.665895
162.0,162,20.761703
291.0,291,20.941601
98.0,98,21.001951
235.0,235,21.156632
195.0,195,21.2756
284.0,284,22.813996
154.0,154,22.911461
342.0,342,23.136604
184.0,184,23.24823
150.0,150,23.341727
212.0,212,23.466578
193.0,193,23.581662
204.0,204,23.711642
211.0,211,23.845377
200.0,200,25.260633
479.0,479,25.575362
258.0,258,25.751828
187.0,187,25.901628
294.0,294,26.093578
155.0,155,26.19154
238.0,238,26.333833
204.0,204,26.464117
302.0,302,27.93576
500.0,500,28.263873
312.0,312,28.451674
371.0,371,28.681646
187.0,187,28.803926
499.0,499,29.10997
274.0,274,30.632798
182.0,182,30.797648
500.0,500,31.122329
419.0,419,31.381408
280.0,280,31.541485
368.0,368,31.781642
500.0,500,33.38374
500.0,500,33.691684
500.0,500,34.006507
500.0,500,34.311471
500.0,500,36.016786
398.0,398,36.277326
500.0,500,36.563505
500.0,500,36.88176
500.0,500,38.501523
392.0,392,38.7537
500.0,500,39.064959
500.0,500,39.363622
282.0,282,39.533845
500.0,500,41.203912
500.0,500,41.531275
500.0,500,41.846353
500.0,500,42.151571
500.0,500,43.811736
500.0,500,44.125515
500.0,500,44.429099
500.0,500,44.736476
500.0,500,46.497576
500.0,500,46.808415
500.0,500,47.147363
500.0,500,47.45383
500.0,500,49.071619
500.0,500,49.393577
500.0,500,49.701639
500.0,500,50.001289
500.0,500,51.63395
500.0,500,51.973684
179.0,179,52.083472
345.0,345,52.293559
215.0,215,52.423814
500.0,500,52.80162
500.0,500,54.659897
361.0,361,54.881576
500.0,500,55.283523
232.0,232,55.474112
500.0,500,55.817116
500.0,500,57.741569
500.0,500,58.051402
349.0,349,58.263802
500.0,500,58.568891
500.0,500,60.679312
500.0,500,61.02111
500.0,500,61.35861
500.0,500,61.681678
500.0,500,63.371481
500.0,500,63.691184
500.0,500,64.001255
500.0,500,64.309387
500.0,500,65.965548
500.0,500,66.281267
500.0,500,66.595173
500.0,500,66.91369
