#{"t_start": 1766689379.3598318, "env_id": "CartPole-v1"}
r,l,t
25.0,25,3.382432
55.0,55,3.430147
14.0,14,3.446078
26.0,26,3.461925
14.0,14,3.461925
37.0,37,3.494035
15.0,15,3.50058
21.0,21,3.510134
13.0,13,3.510134
13.0,13,3.535042
12.0,12,3.541993
65.0,65,3.57425
38.0,38,3.606134
15.0,15,3.606134
22.0,22,3.622792
32.0,32,3.645277
38.0,38,3.654609
17.0,17,3.670761
19.0,19,3.686925
20.0,20,3.700593
28.0,28,3.718292
45.0,45,3.750093
16.0,16,3.750093
65.0,65,3.800555
19.0,19,3.818338
28.0,28,3.829442
12.0,12,3.845104
53.0,53,3.876766
42.0,42,3.900606
28.0,28,3.90866
14.0,14,3.924766
25.0,25,3.940818
45.0,45,3.956611
12.0,12,3.972772
10.0,10,3.972772
33.0,33,3.988446
11.0,11,4.00417
12.0,12,4.013968
29.0,29,4.032038
42.0,42,4.055867
22.0,22,4.067646
15.0,15,4.076181
41.0,41,4.100513
10.0,10,4.107039
63.0,63,4.141409
16.0,16,4.147406
37.0,37,4.169952
19.0,19,4.17856
15.0,15,4.17856
51.0,51,4.209684
18.0,18,4.225357
12.0,12,4.225357
31.0,31,4.256819
31.0,31,4.272801
12.0,12,4.272801
42.0,42,4.304204
49.0,49,4.319875
10.0,10,4.335546
21.0,21,4.351237
11.0,11,4.351237
18.0,18,4.383039
11.0,11,4.39594
14.0,14,4.40699
17.0,17,4.420549
18.0,18,4.434848
27.0,27,4.454439
36.0,36,4.480291
12.0,12,4.488327
19.0,19,4.501112
43.0,43,4.528462
33.0,33,4.550061
15.0,15,4.560854
14.0,14,4.568886
49.0,49,4.598238
23.0,23,4.61129
17.0,17,4.621062
18.0,18,4.631608
28.0,28,4.64717
9.0,9,4.65343
38.0,38,6.086877
36.0,36,6.107462
41.0,41,6.146646
51.0,51,6.188248
20.0,20,6.203718
22.0,22,6.217344
53.0,53,6.257416
14.0,14,6.267562
39.0,39,6.303639
43.0,43,6.344962
13.0,13,6.360927
15.0,15,6.373916
12.0,12,6.389554
25.0,25,6.405949
93.0,93,6.488297
15.0,15,6.503807
49.0,49,6.533125
43.0,43,6.580603
43.0,43,6.612381
33.0,33,6.628211
27.0,27,6.665405
10.0,10,6.673441
54.0,54,6.706956
21.0,21,6.738878
25.0,25,6.754649
17.0,17,6.770449
20.0,20,6.770449
84.0,84,6.832695
103.0,103,6.906212
20.0,20,6.916488
30.0,30,6.934056
33.0,33,6.952362
